"","SIDateTime","ElectricActivity","NLS","ltgAll","VASR_AB","OverallABmedInfra","OverallABmedSeis","maxseisDur","maxinfraDur","CRF_yn","CRF_yn2","start_ElectricActivity","Factor_ltgAll"
"227","30-May-2015 16:33:15",48.127613,5,0,1.1705105836394,357764.703785,404117.168603,97.02,90.22,"n","n",48.12763725,"0"
"228","30-May-2015 16:41:16",0,1,0,0.651754362267245,89880.4128885,193438.747428,114.2,90.27,"n","n",2.425e-05,"0"
"230","30-May-2015 16:56:40",14.398957,6,1,0.352468255010456,37192.2165715,140812.059841,68.17,60.33,"n","n",14.39898125,"1"
"232","30-May-2015 17:36:28",0.001358864,7,1,10.1634157133341,6803000.117797,729603.1692985,20.38,9.23,"n","n",0.001383114,"1"
"233","30-May-2015 17:44:19",4.5641162,15,2,2.28345099354447,158482.1951525,72823.257412,42.23,33.16,"n","n",4.56414045,"1"
"241","30-May-2015 18:27:01",4.1733557,2,0,4.11096566589809,49086.0069635,14497.2079585,28.72,20.54,"n","n",4.17337995,"0"
"246","30-May-2015 19:50:14",0.000931673,5,1,8.40367529702015,100695.7484,76460.920684,44.97,20.77,"n","n",0.000955923,"1"
"248","30-May-2015 19:56:44",0.00313135,5,1,5.32481172848228,104761.265424,123682.371197,29.03,21.39,"n","n",0.0031556,"1"
"249","30-May-2015 20:00:52",0.000631849,3,1,5.15732915838722,316300.190334,403417.084412,84.6,61.28,"n","n",0.000656099,"1"
"251","30-May-2015 21:32:44",16.428302,19,3,0.97553112188779,452057.856666,2833522.675404,62.85,57.78,"n","n",16.42832625,"1"
"252","30-May-2015 21:43:08",305.41802,191,16,1.43394052796517,173305.904286,1292964.363609,97.02,89.84,"n","n",305.41804425,"1"
"256","30-May-2015 22:20:07",150.20871,82,5,2.48291007363583,13457.95143,35749.193326,25.34,19.66,"n","n",150.20873425,"1"
"257","30-May-2015 22:30:07",40.211553,54,4,0.918655017956801,173736.975437,1444128.875303,111.89,90.26,"n","n",40.21157725,"1"
"258","30-May-2015 22:39:16",0,1,0,2.47604729910928,279481.983659,749256.756056,83.87,67.85,"n","n",2.425e-05,"0"
"260","30-May-2015 22:53:39",48.389101,105,5,1.59488787061175,151496.420186,614991.790188,34.13,19.91,"n","n",48.38912525,"1"
"263","30-May-2015 23:58:18",71.654138,92,9,1.60173860898538,505791.744559,1835048.037767,106.68,90.17,"n","n",71.65416225,"1"
"267","31-May-2015 00:37:30",11.273278,96,4,0.828618231513908,303562.053702,1872588.121494,95.72,71.4,"n","n",11.27330225,"1"
"269","31-May-2015 00:43:29",4.7027953,2,0,0.539468468045966,57932.689601,781393.810357,63.1,52.62,"n","n",4.70281955,"0"
"273","31-May-2015 04:00:57",1.8743659,10,1,1.02935033210611,7594006.25892,29530963.892512,38.17,29.32,"n","n",1.87439015,"1"
"276","31-May-2015 04:48:25",0.000977223,6,1,14.0605903911212,16968995.422096,6220652.546807,75.65,66.86,"n","n",0.001001473,"1"
"279","31-May-2015 05:13:10",30.674638,59,2,3.87045985107458,313380.556376,383630.122762,37.35,27.14,"n","n",30.67466225,"1"
"288","31-May-2015 08:13:31",61.352048,234,14,2.68262118771785,13091144.326274,11499454.544531,100.71,90.92,"n","n",61.35207225,"1"
"297","31-May-2015 11:09:10",5.3050923,21,2,4.10222857805765,507182701.42505,489163861.866057,53.21,44.5,"n","n",5.30511655,"1"
"300","31-May-2015 11:27:00",0,1,0,6.47749141205942,12243.820046,11829.183757,18.51,10.67,"n","n",2.425e-05,"0"
"302","31-May-2015 11:34:20",4.8369665,3,0,5.7143754834875,1862559.764657,836144.076321,55.46,44.78,"n","n",4.83699075,"0"
"303","31-May-2015 11:42:10",24.268152,20,2,8.53458425819884,550832.973166,398415.254051,102.83,90.07,"n","n",24.26817625,"1"
"323","01-Jun-2015 04:26:03",0,1,0,4.02894665931158,167443.454915,381021.419867,20.17,13.07,"n","n",2.425e-05,"0"
"328","01-Jun-2015 07:03:17",0,1,0,4.44543612491156,105618.138678,179347.36328,23.72,15.73,"n","n",2.425e-05,"0"
"331","01-Jun-2015 07:34:05",133.37644,422,18,1.49225107754388,10382.275539,51258.527964,17.11,6.56,"n","n",133.37646425,"1"
"332","01-Jun-2015 08:02:00",0,1,0,0.590610243069369,21584.163438,220779.148705,20.59,6.53,"n","n",2.425e-05,"0"
"339","01-Jun-2015 09:12:15",0,1,0,4.22728319865162,133087.496865,426827.432546,49.38,43.77,"n","n",2.425e-05,"0"
"341","01-Jun-2015 09:34:48",0.001240368,2,0,3.8783059220224,205361.154532,527060.592183,46.72,41.38,"n","n",0.001264618,"0"
"351","01-Jun-2015 10:03:43",0,1,0,4.11541591233433,273594.464984,428614.323249,48.28,42.4,"n","n",2.425e-05,"0"
"353","01-Jun-2015 10:15:47",0.000943732,4,1,2.67992714771431,283286.131888,700927.865935,43.4,36.91,"n","n",0.000967982,"1"
"357","01-Jun-2015 10:54:32",0,1,0,3.2699110630042,97809.626097,164718.2244,23.53,12.44,"n","n",2.425e-05,"0"
"358","01-Jun-2015 11:02:20",0.000132464,3,1,3.05084842424817,116954.506806,199113.539877,28.73,21.83,"n","n",0.000156714,"1"
"364","01-Jun-2015 11:29:56",6.6868941,13,0,1.68231733265539,814918.447778,2914962.37168,45.07,38.31,"n","n",6.68691835,"0"
"374","01-Jun-2015 12:10:40",0.003493602,14,1,3.83521252696714,543005.407755,946737.069485,101.21,90.01,"n","n",0.003517852,"1"
"382","01-Jun-2015 12:39:45",4.8685898,11,2,5.16290607969849,749814.662504,1115131.161459,95.88,90.19,"n","n",4.86861405,"1"
"388","01-Jun-2015 13:12:39",9.2851439,20,1,9.65408434288399,441152.085506,422381.205855,56.88,46.51,"n","n",9.28516815,"1"
"390","01-Jun-2015 13:18:40",15.307843,33,2,4.29287332518422,1050379.558312,1744938.493622,101.2,90.07,"n","n",15.30786725,"1"
"397","02-Jun-2015 03:12:39",75.925549,195,3,23.7631473175383,1855561.568915,104996.126776,55.5,46.51,"n","n",75.92557325,"1"
"398","02-Jun-2015 03:19:49",3.1086136,10,0,5.18767394783844,3422496.545385,699469.303914,98.43,90.17,"n","n",3.10863785,"0"
"402","02-Jun-2015 03:30:51",20.326736,31,1,6.32214607940374,1081028.070314,170990.682078,72.6,60.54,"n","n",20.32676025,"1"
"405","02-Jun-2015 03:51:23",66.492804,15,0,7.89187969104073,2181459.568373,247893.237959,42.18,32.42,"n","n",66.49282825,"0"
"406","02-Jun-2015 04:01:53",5.4987402,4,0,1.30143467426994,572017.776407,439528.61232,100.57,90.09,"n","n",5.49876445,"0"
"411","02-Jun-2015 04:20:55",3.6090091,4,0,3.49904841622925,101302.874741,38237.047509,45.44,37.69,"n","n",3.60903335,"0"
"413","02-Jun-2015 04:25:07",121.4605,20,0,2.68329517862898,180688.989695,56962.589261,45.03,33.28,"n","n",121.46052425,"0"
"421","02-Jun-2015 05:50:36",5.3241498,11,1,0.978347194533895,102998.240715,105277.800448,87.37,76.85,"n","n",5.32417405,"1"
"428","02-Jun-2015 08:05:26",37.220931,48,3,10.4059912693431,416503.19115,42721.392964,32.83,18.2,"n","n",37.22095525,"1"
"430","02-Jun-2015 08:17:17",37.502254,31,3,5.61554284854482,1010337.933468,179918.123807,104.03,90.07,"n","n",37.50227825,"1"
"432","02-Jun-2015 08:25:59",33.842586,26,4,1.50427984734634,167904.172485,101527.408851,101.41,86,"n","n",33.84261025,"1"
"434","02-Jun-2015 08:42:37",6.3395931,3,0,0.645195500562013,155998.176769,215899.755377,88.26,73.93,"n","n",6.33961735,"0"
"436","02-Jun-2015 08:54:28",8.4745919,43,4,0.575618049002961,299546.655801,520391.353815,109.77,90.06,"n","n",8.47461615,"1"
"438","02-Jun-2015 09:20:29",6.3240713,7,1,0.498405838997649,94301.522707,189206.296011,70.44,55.57,"n","n",6.32409555,"1"
"440","02-Jun-2015 09:36:15",5.3780552,3,0,0.62118465895954,87017.321792,170953.520092,83.65,69.32,"n","n",5.37807945,"0"
